freq,psd_x,psd_y,psd_z,psd_xyz
148.6,1.274e+03,1.665e+02,9.749e+01,1.538e+03
150.1,1.624e+03,1.744e+02,9.668e+01,1.895e+03
151.6,2.117e+03,2.013e+02,9.878e+01,2.417e+03
153.1,1.972e+03,1.683e+02,8.989e+01,2.230e+03
154.6,1.724e+03,1.333e+02,7.941e+01,1.937e+03
156.1,1.648e+03,1.220e+02,7.710e+01,1.847e+03
157.7,1.605e+03,1.377e+02,8.354e+01,1.826e+03
159.2,1.245e+03,1.399e+02,6.831e+01,1.453e+03
160.7,9.272e+02,1.047e+02,5.678e+01,1.089e+03
162.2,7.457e+02,8.930e+01,6.168e+01,8.967e+02
163.7,6.198e+02,1.005e+02,6.374e+01,7.840e+02
165.2,5.080e+02,1.216e+02,6.828e+01,6.978e+02
166.8,4.461e+02,1.346e+02,7.010e+01,6.508e+02
168.3,4.641e+02,1.092e+02,6.875e+01,6.421e+02
169.8,5.813e+02,9.721e+01,6.212e+01,7.406e+02
171.3,6.396e+02,9.176e+01,5.974e+01,7.911e+02
172.8,5.546e+02,8.402e+01,5.572e+01,6.944e+02
174.3,4.678e+02,1.077e+02,5.189e+01,6.273e+02
175.8,4.039e+02,1.435e+02,5.329e+01,6.007e+02
177.4,3.869e+02,1.631e+02,5.471e+01,6.046e+02
178.9,4.369e+02,1.384e+02,5.450e+01,6.298e+02
180.4,5.600e+02,1.494e+02,5.499e+01,7.644e+02
181.9,5.639e+02,1.331e+02,5.290e+01,7.499e+02
183.4,4.938e+02,1.190e+02,5.054e+01,6.633e+02
184.9,4.413e+02,1.369e+02,5.085e+01,6.291e+02
186.5,4.052e+02,1.437e+02,5.653e+01,6.054e+02
188.0,5.498e+02,1.851e+02,5.470e+01,7.896e+02
189.5,7.748e+02,2.685e+02,5.972e+01,1.103e+03
191.0,1.014e+03,1.532e+03,1.045e+02,2.651e+03
192.5,1.015e+03,2.076e+03,1.207e+02,3.212e+03
194.0,8.306e+02,4.778e+02,7.204e+01,1.380e+03
195.6,8.458e+02,4.015e+02,7.904e+01,1.326e+03
197.1,9.744e+02,4.246e+02,9.085e+01,1.490e+03
198.6,1.168e+03,4.787e+02,1.105e+02,1.757e+03
