freq,psd_x,psd_y,psd_z,psd_xyz
154.6,1.561e+01,4.121e+01,4.747e+01,1.043e+02
156.1,1.493e+01,4.143e+01,5.080e+01,1.072e+02
157.6,1.526e+01,4.464e+01,5.617e+01,1.161e+02
159.2,1.428e+01,6.331e+01,5.242e+01,1.300e+02
160.7,1.390e+01,9.039e+01,4.925e+01,1.535e+02
162.2,1.432e+01,9.148e+01,5.220e+01,1.580e+02
163.7,1.605e+01,9.536e+01,4.836e+01,1.598e+02
165.2,1.607e+01,1.011e+02,5.071e+01,1.679e+02
166.7,1.717e+01,1.057e+02,5.565e+01,1.786e+02
168.2,1.816e+01,1.039e+02,5.489e+01,1.770e+02
169.8,1.603e+01,9.303e+01,5.142e+01,1.605e+02
171.3,1.543e+01,7.983e+01,4.953e+01,1.448e+02
172.8,1.518e+01,7.243e+01,5.367e+01,1.413e+02
174.3,1.443e+01,5.735e+01,5.872e+01,1.305e+02
175.8,1.668e+01,5.212e+01,6.022e+01,1.290e+02
177.3,2.000e+01,5.303e+01,5.931e+01,1.323e+02
178.9,2.055e+01,5.155e+01,5.612e+01,1.282e+02
180.4,2.015e+01,5.094e+01,5.190e+01,1.230e+02
181.9,1.997e+01,5.218e+01,5.280e+01,1.249e+02
183.4,1.784e+01,4.500e+01,5.095e+01,1.138e+02
184.9,1.786e+01,3.791e+01,5.528e+01,1.111e+02
186.4,1.878e+01,3.602e+01,5.841e+01,1.132e+02
187.9,1.788e+01,3.538e+01,6.020e+01,1.135e+02
189.5,1.811e+01,3.405e+01,5.658e+01,1.087e+02
191.0,1.794e+01,3.210e+01,6.573e+01,1.158e+02
192.5,1.726e+01,3.091e+01,6.737e+01,1.155e+02
194.0,1.577e+01,3.299e+01,5.728e+01,1.060e+02
195.5,1.665e+01,3.263e+01,5.987e+01,1.092e+02
197.0,1.789e+01,3.504e+01,5.759e+01,1.105e+02
198.6,2.123e+01,3.373e+01,5.382e+01,1.088e+02
