freq,psd_x,psd_y,psd_z,psd_xyz
165.1,1.179e+02,5.948e+02,2.044e+03,2.757e+03
166.6,1.090e+02,5.316e+02,2.608e+03,3.249e+03
168.2,1.244e+02,2.918e+02,3.126e+03,3.542e+03
169.7,1.962e+02,2.199e+02,3.415e+03,3.831e+03
171.2,2.910e+02,1.847e+02,3.749e+03,4.225e+03
172.7,3.226e+02,1.429e+02,3.547e+03,4.013e+03
174.2,4.234e+02,1.280e+02,3.769e+03,4.321e+03
175.7,5.069e+02,1.425e+02,3.645e+03,4.294e+03
177.2,4.714e+02,1.906e+02,3.137e+03,3.799e+03
178.8,4.623e+02,1.956e+02,3.233e+03,3.891e+03
180.3,5.336e+02,1.745e+02,3.377e+03,4.086e+03
181.8,5.104e+02,1.582e+02,3.144e+03,3.812e+03
183.3,4.320e+02,1.354e+02,2.568e+03,3.135e+03
184.8,3.596e+02,1.302e+02,1.926e+03,2.416e+03
186.3,2.937e+02,1.090e+02,1.447e+03,1.850e+03
187.8,5.018e+02,1.130e+02,1.805e+03,2.420e+03
189.4,8.646e+02,1.500e+02,2.741e+03,3.756e+03
190.9,9.859e+02,1.804e+02,2.975e+03,4.141e+03
192.4,1.111e+03,1.903e+02,2.895e+03,4.196e+03
193.9,1.050e+03,1.956e+02,2.431e+03,3.677e+03
195.4,7.323e+02,1.838e+02,1.599e+03,2.515e+03
196.9,3.791e+02,2.190e+02,8.074e+02,1.405e+03
198.5,3.018e+02,2.167e+02,4.098e+02,9.283e+02
200.0,3.518e+02,2.097e+02,3.714e+02,9.329e+02
