freq,psd_x,psd_y,psd_z,psd_xyz
175.8,1.069e+02,5.586e+03,6.554e+03,1.225e+04
177.3,9.125e+01,5.602e+03,7.453e+03,1.315e+04
178.8,6.919e+01,5.768e+03,8.687e+03,1.452e+04
180.3,6.521e+01,6.234e+03,1.042e+04,1.672e+04
181.9,7.173e+01,7.504e+03,1.283e+04,2.041e+04
183.4,9.215e+01,9.534e+03,1.617e+04,2.579e+04
184.9,1.348e+02,1.060e+04,1.865e+04,2.938e+04
186.4,1.628e+02,1.015e+04,1.834e+04,2.866e+04
187.9,1.862e+02,1.043e+04,1.882e+04,2.944e+04
189.4,1.998e+02,1.111e+04,2.016e+04,3.147e+04
191.0,2.220e+02,1.140e+04,2.120e+04,3.283e+04
192.5,2.408e+02,1.162e+04,2.288e+04,3.475e+04
194.0,2.514e+02,1.217e+04,2.443e+04,3.685e+04
195.5,2.814e+02,1.299e+04,2.612e+04,3.940e+04
197.0,3.035e+02,1.400e+04,2.845e+04,4.276e+04
198.5,3.236e+02,1.473e+04,3.038e+04,4.543e+04
