freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.448e+00,2.236e+02,1.268e+02,3.598e+02
1.5,4.569e+01,2.435e+02,1.155e+02,4.047e+02
3.0,5.297e+01,1.955e+02,6.225e+01,3.107e+02
4.5,6.692e+01,5.067e+02,6.464e+01,6.383e+02
6.1,7.883e+01,1.452e+03,6.235e+01,1.593e+03
7.6,7.842e+01,2.273e+03,6.093e+01,2.412e+03
9.1,6.456e+01,3.206e+03,6.382e+01,3.335e+03
10.6,5.303e+01,4.398e+03,7.616e+01,4.528e+03
12.1,6.182e+01,5.862e+03,8.415e+01,6.008e+03
13.6,6.915e+01,7.803e+03,9.399e+01,7.967e+03
15.2,6.249e+01,1.036e+04,1.328e+02,1.055e+04
16.7,6.703e+01,1.375e+04,1.980e+02,1.401e+04
18.2,8.477e+01,1.885e+04,3.899e+02,1.932e+04
19.7,1.047e+02,2.463e+04,8.513e+02,2.558e+04
21.2,1.096e+02,1.811e+04,8.370e+02,1.906e+04
22.7,8.805e+01,1.322e+04,2.532e+02,1.356e+04
24.2,7.770e+01,1.868e+04,8.952e+01,1.885e+04
25.8,8.711e+01,2.640e+04,1.593e+02,2.664e+04
27.3,1.005e+02,3.571e+04,3.882e+02,3.619e+04
28.8,1.219e+02,4.077e+04,6.291e+02,4.152e+04
30.3,1.304e+02,4.687e+04,6.852e+02,4.768e+04
31.8,1.544e+02,6.200e+04,6.971e+02,6.285e+04
33.3,1.590e+02,8.374e+04,5.888e+02,8.448e+04
34.9,1.359e+02,1.147e+05,2.720e+03,1.176e+05
36.4,1.030e+02,1.527e+05,1.151e+04,1.643e+05
37.9,1.398e+02,2.340e+05,2.791e+04,2.621e+05
39.4,5.120e+02,3.474e+05,5.058e+04,3.985e+05
40.9,1.251e+03,2.771e+05,4.114e+04,3.195e+05
42.4,1.576e+03,1.374e+05,2.158e+04,1.606e+05
43.9,1.947e+03,1.708e+05,6.242e+04,2.351e+05
45.5,2.282e+03,2.611e+05,1.345e+05,3.979e+05
47.0,2.636e+03,2.856e+05,1.853e+05,4.735e+05
48.5,3.624e+03,2.817e+05,2.283e+05,5.136e+05
50.0,4.555e+03,2.249e+05,2.415e+05,4.710e+05
51.5,4.590e+03,1.489e+05,2.254e+05,3.789e+05
53.0,2.855e+03,8.596e+04,2.039e+05,2.927e+05
54.6,1.453e+03,4.574e+04,1.990e+05,2.462e+05
56.1,1.322e+03,4.626e+04,1.915e+05,2.391e+05
57.6,1.270e+03,7.943e+04,1.357e+05,2.165e+05
59.1,1.139e+03,7.302e+04,1.065e+05,1.807e+05
60.6,9.342e+02,4.665e+04,1.188e+05,1.664e+05
62.1,7.352e+02,2.574e+04,1.327e+05,1.592e+05
63.6,1.602e+03,1.762e+04,1.544e+05,1.736e+05
65.2,3.845e+03,2.225e+04,2.279e+05,2.540e+05
66.7,5.068e+03,3.889e+04,3.368e+05,3.807e+05
68.2,4.392e+03,5.593e+04,3.493e+05,4.096e+05
69.7,2.879e+03,5.549e+04,2.772e+05,3.356e+05
71.2,1.599e+03,5.085e+04,2.186e+05,2.710e+05
72.7,1.199e+03,5.024e+04,1.850e+05,2.364e+05
74.2,8.851e+02,4.544e+04,1.418e+05,1.881e+05
75.8,4.097e+02,4.194e+04,1.037e+05,1.461e+05
77.3,2.076e+02,3.957e+04,7.679e+04,1.166e+05
78.8,1.680e+02,3.808e+04,5.705e+04,9.529e+04
80.3,1.542e+02,3.609e+04,4.512e+04,8.136e+04
81.8,2.306e+02,3.532e+04,3.759e+04,7.314e+04
83.3,4.601e+02,3.735e+04,2.793e+04,6.573e+04
84.9,4.795e+02,3.543e+04,2.079e+04,5.671e+04
86.4,2.680e+02,3.133e+04,1.629e+04,4.788e+04
87.9,1.654e+02,2.763e+04,1.189e+04,3.968e+04
89.4,1.894e+02,2.401e+04,8.553e+03,3.276e+04
90.9,1.772e+02,1.972e+04,7.007e+03,2.691e+04
92.4,1.737e+02,1.600e+04,8.165e+03,2.433e+04
93.9,2.404e+02,1.363e+04,1.120e+04,2.507e+04
95.5,2.533e+02,1.207e+04,1.374e+04,2.606e+04
97.0,2.022e+02,1.163e+04,1.516e+04,2.699e+04
98.5,1.516e+02,1.325e+04,1.570e+04,2.910e+04
100.0,1.242e+02,1.568e+04,1.521e+04,3.102e+04
101.5,1.951e+02,1.801e+04,1.482e+04,3.302e+04
103.0,2.873e+02,2.014e+04,1.403e+04,3.446e+04
104.6,2.236e+02,2.020e+04,1.087e+04,3.130e+04
106.1,1.640e+02,2.029e+04,8.412e+03,2.887e+04
107.6,2.002e+02,2.076e+04,6.680e+03,2.764e+04
109.1,3.664e+02,2.169e+04,5.530e+03,2.759e+04
110.6,6.035e+02,2.124e+04,4.680e+03,2.652e+04
112.1,9.696e+02,2.035e+04,3.154e+03,2.447e+04
113.6,1.353e+03,2.116e+04,2.231e+03,2.475e+04
115.2,1.603e+03,2.161e+04,1.991e+03,2.520e+04
116.7,1.801e+03,2.034e+04,1.437e+03,2.357e+04
118.2,2.198e+03,1.940e+04,9.507e+02,2.255e+04
119.7,2.797e+03,1.839e+04,7.855e+02,2.197e+04
121.2,3.121e+03,1.480e+04,9.702e+02,1.889e+04
122.7,3.912e+03,1.357e+04,1.451e+03,1.893e+04
124.3,5.109e+03,1.397e+04,2.031e+03,2.111e+04
125.8,5.887e+03,1.345e+04,2.580e+03,2.191e+04
127.3,6.032e+03,1.206e+04,3.249e+03,2.134e+04
128.8,5.579e+03,1.046e+04,3.951e+03,1.999e+04
130.3,5.266e+03,9.094e+03,4.280e+03,1.864e+04
131.8,5.043e+03,7.146e+03,3.738e+03,1.593e+04
133.3,2.158e+03,2.722e+03,1.532e+03,6.412e+03
134.9,1.888e+02,5.030e+02,2.903e+02,9.821e+02
136.4,6.662e+01,5.023e+02,2.001e+02,7.691e+02
137.9,7.369e+01,4.415e+02,1.619e+02,6.771e+02
139.4,7.455e+01,4.181e+02,1.925e+02,6.852e+02
140.9,7.988e+01,3.724e+02,2.451e+02,6.974e+02
142.4,9.096e+01,2.789e+02,2.721e+02,6.419e+02
144.0,9.614e+01,2.663e+02,2.761e+02,6.386e+02
145.5,9.477e+01,2.612e+02,3.001e+02,6.561e+02
147.0,9.954e+01,2.644e+02,3.609e+02,7.248e+02
148.5,8.518e+01,2.521e+02,4.057e+02,7.430e+02
150.0,7.648e+01,2.001e+02,3.623e+02,6.388e+02
151.5,7.354e+01,2.008e+02,3.170e+02,5.913e+02
153.0,6.250e+01,2.437e+02,3.152e+02,6.213e+02
154.6,6.312e+01,2.423e+02,3.397e+02,6.452e+02
156.1,6.842e+01,2.372e+02,2.499e+02,5.556e+02
157.6,7.514e+01,2.970e+02,1.961e+02,5.682e+02
159.1,7.166e+01,2.643e+02,1.646e+02,5.005e+02
160.6,6.822e+01,2.568e+02,1.505e+02,4.756e+02
162.1,5.778e+01,3.066e+02,1.585e+02,5.229e+02
163.7,5.910e+01,3.204e+02,1.698e+02,5.493e+02
165.2,6.014e+01,3.576e+02,1.722e+02,5.899e+02
166.7,6.443e+01,3.305e+02,1.683e+02,5.633e+02
168.2,5.618e+01,2.907e+02,1.676e+02,5.144e+02
169.7,6.557e+01,3.495e+02,1.574e+02,5.725e+02
171.2,8.293e+01,3.266e+02,1.470e+02,5.566e+02
172.7,8.039e+01,3.200e+02,1.251e+02,5.255e+02
174.3,9.280e+01,2.893e+02,1.285e+02,5.106e+02
175.8,8.348e+01,2.840e+02,1.483e+02,5.158e+02
177.3,8.690e+01,2.616e+02,1.499e+02,4.984e+02
178.8,8.790e+01,2.846e+02,1.593e+02,5.318e+02
180.3,6.556e+01,3.164e+02,1.471e+02,5.291e+02
181.8,5.927e+01,2.431e+02,1.462e+02,4.485e+02
183.3,6.332e+01,2.252e+02,1.484e+02,4.369e+02
184.9,6.845e+01,2.489e+02,1.694e+02,4.867e+02
186.4,7.873e+01,2.334e+02,1.918e+02,5.039e+02
187.9,7.855e+01,2.696e+02,2.226e+02,5.707e+02
189.4,6.619e+01,2.587e+02,2.374e+02,5.623e+02
190.9,6.731e+01,2.640e+02,2.249e+02,5.562e+02
192.4,7.594e+01,2.729e+02,2.276e+02,5.765e+02
194.0,7.808e+01,2.843e+02,2.356e+02,5.979e+02
195.5,8.244e+01,2.602e+02,2.664e+02,6.091e+02
197.0,9.664e+01,2.598e+02,2.720e+02,6.285e+02
198.5,9.037e+01,3.032e+02,2.628e+02,6.564e+02
