freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.804e+02,1.724e+01,1.971e+01,3.174e+02
1.5,1.871e+02,6.616e+01,6.683e+01,3.201e+02
3.0,5.302e+01,6.758e+01,7.445e+01,1.950e+02
4.6,3.558e+02,6.518e+01,7.402e+01,4.950e+02
6.1,1.295e+03,6.265e+01,7.545e+01,1.433e+03
7.6,2.179e+03,5.971e+01,7.520e+01,2.314e+03
9.1,3.178e+03,6.257e+01,7.617e+01,3.317e+03
10.6,4.402e+03,7.227e+01,8.022e+01,4.555e+03
12.2,5.542e+03,1.015e+02,1.035e+02,5.747e+03
13.7,6.344e+03,1.251e+02,1.317e+02,6.601e+03
15.2,7.918e+03,1.231e+02,1.258e+02,8.167e+03
16.7,1.022e+04,1.257e+02,1.218e+02,1.046e+04
18.2,1.258e+04,1.161e+02,1.155e+02,1.281e+04
19.7,1.476e+04,1.308e+02,9.117e+01,1.498e+04
21.3,1.770e+04,1.678e+02,9.151e+01,1.796e+04
22.8,2.146e+04,2.067e+02,9.733e+01,2.176e+04
24.3,2.608e+04,2.433e+02,9.496e+01,2.642e+04
25.8,3.212e+04,3.650e+02,9.220e+01,3.258e+04
27.3,3.905e+04,6.479e+02,9.767e+01,3.979e+04
28.9,4.263e+04,9.765e+02,1.124e+02,4.372e+04
30.4,4.446e+04,8.396e+02,1.088e+02,4.540e+04
31.9,4.762e+04,7.371e+02,1.063e+02,4.847e+04
33.4,4.534e+04,6.287e+02,1.503e+02,4.611e+04
34.9,4.905e+04,3.386e+02,2.475e+02,4.964e+04
36.5,5.579e+04,1.491e+02,4.546e+02,5.640e+04
38.0,6.397e+04,1.132e+02,7.864e+02,6.487e+04
39.5,7.426e+04,2.486e+02,1.198e+03,7.571e+04
41.0,8.503e+04,4.846e+02,1.668e+03,8.719e+04
42.5,9.946e+04,7.667e+02,2.312e+03,1.025e+05
44.1,1.230e+05,1.370e+03,3.331e+03,1.277e+05
45.6,1.547e+05,2.449e+03,5.155e+03,1.623e+05
47.1,1.825e+05,4.344e+03,9.660e+03,1.965e+05
48.6,1.820e+05,7.506e+03,2.063e+04,2.101e+05
50.1,1.514e+05,1.292e+04,3.855e+04,2.029e+05
51.6,9.204e+04,1.527e+04,4.163e+04,1.489e+05
53.2,8.592e+04,1.270e+04,2.918e+04,1.278e+05
54.7,1.458e+05,9.989e+03,1.939e+04,1.752e+05
56.2,2.316e+05,6.413e+03,1.145e+04,2.494e+05
57.7,3.343e+05,3.539e+03,6.418e+03,3.442e+05
59.2,4.628e+05,1.969e+03,3.627e+03,4.684e+05
60.8,5.931e+05,1.464e+03,3.523e+03,5.981e+05
62.3,6.728e+05,1.159e+03,3.618e+03,6.775e+05
63.8,7.119e+05,8.725e+02,3.032e+03,7.158e+05
65.3,6.424e+05,1.089e+03,3.189e+03,6.467e+05
66.8,4.599e+05,1.592e+03,3.997e+03,4.655e+05
68.4,2.648e+05,1.923e+03,4.689e+03,2.714e+05
69.9,1.712e+05,1.962e+03,4.249e+03,1.774e+05
71.4,1.740e+05,1.833e+03,3.167e+03,1.790e+05
72.9,1.529e+05,1.450e+03,2.291e+03,1.566e+05
74.4,1.182e+05,1.214e+03,2.002e+03,1.215e+05
76.0,8.113e+04,9.385e+02,1.851e+03,8.392e+04
77.5,4.884e+04,7.262e+02,1.584e+03,5.115e+04
79.0,2.843e+04,6.526e+02,1.536e+03,3.062e+04
80.5,1.729e+04,7.178e+02,1.695e+03,1.970e+04
82.0,1.373e+04,8.293e+02,2.030e+03,1.659e+04
83.5,1.457e+04,9.573e+02,2.301e+03,1.783e+04
85.1,1.785e+04,1.254e+03,2.972e+03,2.207e+04
86.6,2.218e+04,2.058e+03,4.644e+03,2.888e+04
88.1,2.499e+04,3.137e+03,6.876e+03,3.500e+04
89.6,2.620e+04,4.203e+03,9.163e+03,3.956e+04
91.1,2.879e+04,5.691e+03,1.244e+04,4.692e+04
92.7,3.255e+04,7.721e+03,1.667e+04,5.695e+04
94.2,3.660e+04,2.749e+04,5.871e+04,1.228e+05
95.7,4.223e+04,3.975e+04,8.466e+04,1.666e+05
97.2,4.552e+04,6.693e+03,1.169e+04,6.391e+04
98.7,4.667e+04,4.524e+03,6.126e+03,5.732e+04
100.3,3.700e+04,6.117e+03,9.595e+03,5.272e+04
101.8,2.198e+04,5.431e+03,8.863e+03,3.628e+04
103.3,1.537e+04,3.738e+03,6.074e+03,2.518e+04
104.8,1.608e+04,2.361e+03,4.473e+03,2.292e+04
106.3,2.042e+04,1.430e+03,3.807e+03,2.565e+04
107.9,2.514e+04,9.602e+02,3.463e+03,2.956e+04
109.4,2.839e+04,7.755e+02,3.101e+03,3.227e+04
110.9,3.149e+04,8.971e+02,3.044e+03,3.543e+04
112.4,3.255e+04,1.128e+03,3.421e+03,3.710e+04
113.9,3.556e+04,1.160e+03,3.623e+03,4.034e+04
115.4,3.977e+04,1.278e+03,3.716e+03,4.477e+04
117.0,4.410e+04,1.442e+03,3.816e+03,4.935e+04
118.5,4.967e+04,1.439e+03,3.961e+03,5.507e+04
120.0,5.506e+04,1.493e+03,3.893e+03,6.045e+04
121.5,6.261e+04,1.989e+03,3.935e+03,6.853e+04
123.0,6.998e+04,2.077e+03,3.759e+03,7.581e+04
124.6,7.804e+04,2.287e+03,3.432e+03,8.376e+04
126.1,8.475e+04,2.511e+03,3.256e+03,9.052e+04
127.6,9.229e+04,2.510e+03,3.308e+03,9.811e+04
129.1,9.987e+04,2.442e+03,3.357e+03,1.057e+05
130.6,1.075e+05,2.284e+03,3.352e+03,1.131e+05
132.2,1.014e+05,2.034e+03,3.161e+03,1.066e+05
133.7,4.097e+04,1.613e+03,1.657e+03,4.424e+04
135.2,1.724e+04,1.156e+03,1.076e+03,1.947e+04
136.7,2.040e+04,1.052e+03,9.948e+02,2.244e+04
138.2,2.454e+04,8.992e+02,9.824e+02,2.642e+04
139.7,2.797e+04,8.137e+02,1.115e+03,2.989e+04
141.3,3.047e+04,9.911e+02,1.280e+03,3.274e+04
142.8,3.340e+04,1.306e+03,1.335e+03,3.604e+04
144.3,3.651e+04,1.499e+03,1.381e+03,3.939e+04
145.8,3.801e+04,1.516e+03,1.340e+03,4.087e+04
147.3,3.923e+04,1.559e+03,1.304e+03,4.209e+04
148.9,4.016e+04,1.676e+03,1.326e+03,4.316e+04
150.4,3.995e+04,1.795e+03,1.364e+03,4.311e+04
151.9,3.925e+04,1.929e+03,1.429e+03,4.261e+04
